Optimal - objective value 27.00000000
      1 x[1,3]                 5                       0
      3 x[3,2]                 1                       0
     10 x[3,5]                 3                       0
     12 x[6,4]                 1                       0
     17 x[5,6]                 2                       0
     37 y[1,3]                 1                       6
     42 y[3,2]                 1                       2
     44 y[3,5]                 1                       7
     51 y[5,6]                 1                       6
     52 y[6,4]                 1                       6
     54 y[1,1]                 1                       0
     55 y[1,5]                 1                       0
     56 y[1,6]                 1                       0
     57 y[2,2]                 1                       0
     58 y[2,4]                 1                       0
     59 y[2,5]                 1                       0
     60 y[2,6]                 1                       0
     61 y[3,3]                 1                       0
     62 y[3,6]                 1                       0
     63 y[4,2]                 1                       0
     64 y[4,4]                 1                       0
     65 y[5,1]                 1                       0
     66 y[5,2]                 1                       0
     67 y[5,5]                 1                       0
     68 y[6,1]                 1                       0
     69 y[6,2]                 1                       0
     70 y[6,3]                 1                       0
     71 y[6,6]                 1                       0
