Optimal - objective value 2160.00000000
      0 x[1,1]                 0                       0
      1 x[1,2]                10                       0
      2 x[2,1]                 0                       0
      3 x[2,2]                10                       0
      4 y[1]                  10                       0
      5 y[2]                   0                      10
      6 y[3]                   0                      90
      7 y[4]                   0                      10
      8 y[5]                   0                      10
      9 y[6]                   0                      30
     10 y[7]                  20                       0
     11 y[8]                   0                       0
     12 y[9]                   0                      10
     13 y[10]                 20                       0
     14 y[11]                  0                      50
     15 y[12]                  0                       0
     16 y[13]                  0                      90
     17 y[14]                 20                       0
     18 y[15]                  0                      30
     19 y[16]                 10                       0
     20 u[1]                   1                       2
     21 u[2]                   0                       2
     22 u[3]                   0                       2
     23 u[4]                   0                       2
     24 u[5]                   0                       2
     25 u[6]                   0                       2
     26 u[7]                   1                       2
     27 u[8]                   0                 -690000
     28 u[9]                   0                       2
     29 u[10]                  1                       2
     30 u[11]                  0                       2
     31 u[12]                  0                 -449998
     32 u[13]                  0                       2
     33 u[14]                  1                       2
     34 u[15]                  0                       2
     35 u[16]                  1                       2
