Optimal - objective value 875.00000000
      0 x[1,1]                 0                       0
      1 x[1,2]                10                       0
      2 x[2,1]                10                       0
      3 x[2,2]                 0                       0
      4 y[1]                   5                      30
      5 y[2]                   0                      10
      6 y[3]                   0                      90
      7 y[4]                   0                      10
      8 y[5]                   0                      10
      9 y[6]                   0                      30
     10 y[7]                   5                      35
     11 y[8]                   5                      40
     12 y[9]                   0                      10
     13 y[10]                  5                      15
     14 y[11]                  0                      50
     15 y[12]                  0                      45
     16 y[13]                  0                      90
     17 y[14]                  5                      25
     18 y[15]                  5                      30
     19 y[16]                  0                      35
